"","WorkingName","Lifestyle.stage.","Resolution","BodySize.g.","Kingdom","Phylum","Subphylum","Class","Subclass","Order","Suborder","Family","Genus","SpecificEpithet"
"625","European green crab",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Decapoda",NA,"","Carcinus",NA
"626","Chironomids",NA,"Family",NA,"Animalia","Hexapoda",NA,"Insecta",NA,"Diptera",NA,"Chironomidae","",NA
"627","Black goby",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Gobius",NA
"628","Broad-nosed pipefish",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Syngnathus",NA
"629","Butterfish",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Pholis",NA
"630","Common goby",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Pomatoschistus",NA
"631","Dover sole",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Solea",NA
"632","European flounder",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Pleuronectes",NA
"633","Nine-spined stickleback",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Pungitius",NA
"634","Painted goby",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Pomatoschistus",NA
"635","Sand goby",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Pomatoschistus",NA
"636","Sea stickleback",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Spinachia",NA
"637","Three-spined stickleback",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Gasterosterus",NA
"638","Two-spotted goby",NA,"Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Gobiusculus",NA
"639","Glugea anomala",NA,"Species",NA,"Fungi","Microsporidia",NA,"",NA,"",NA,"","Glugea",NA
"640","Idothea balthica",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Isopoda",NA,"","Idothea",NA
"641","Idothea chelipes",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Isopoda",NA,"","Idothea ",NA
"642","Jaera albifrons",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Isopoda",NA,"","Jaera",NA
"643","Meiofauna",NA,"Assemblage",NA,"Animalia","",NA,"",NA,"",NA,"","",NA
"644","Dactylogyrus sp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Monogenea",NA,"","Dactylogyrus",NA
"645","Gyrodactylus spp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Monogenea",NA,"","Gyrodactylus",NA
"646","Ascarophis arctica",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Ascarophis",NA
"647","Capillaria sp.",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Capillaria",NA
"648","Contracaecum sp. / osculatum",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Contracaecum",NA
"649","Cosmocephalus obvelatus",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Cosmocephalus",NA
"650","Cucullanellus minutus",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Cucullanellus",NA
"651","Hysterothylacium sp. / aduncum",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Hysterothylacium",NA
"652","Nematodes",NA,"Phylum",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","",NA
"653","Rhabdochona sp.",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Rhabdochona",NA
"654","Ostracods",NA,"Class",NA,"Animalia","Crustacea",NA,"Ostracoda",NA,"",NA,"","",NA
"655","Epipellic Flora",NA,"Assemblage",NA,"","",NA,"",NA,"",NA,"","",NA
"656","Macroalgae",NA,"Assemblage",NA,"","",NA,"",NA,"",NA,"","",NA
"657","Phytoplankton",NA,"Assemblage",NA,"","",NA,"",NA,"",NA,"","",NA
"658","Seagrass",NA,"Assemblage",NA,"Plantae","",NA,"",NA,"",NA,"","",NA
"659","Glossatella sp.",NA,"Species",NA,"Animalia","Ciliophora",NA,"",NA,"",NA,"","Glossatella",NA
"660","Trichodina domergui",NA,"Species",NA,"Animalia","Ciliophora",NA,"",NA,"",NA,"","Trichodina",NA
"661","Brown shrimp",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Decapoda",NA,"","Crangon",NA
"662","Neomysis integer",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Mysida",NA,"","Neomysis",NA
"663","Palaemon squilla",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Decapoda",NA,"","Palemon",NA
"664","Praunus inermis",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Mysida",NA,"","Praunus",NA
"665","Hydrobia neglecta",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Hydrobia",NA
"666","Hydrobia ulvae",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Hydrobia",NA
"667","Hydrobia ventrosa",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Hydrobia",NA
"668","Potamopyrgus jenkinsi",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Potamopyrgus",NA
"669","Rissoa membranacea",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Rissoa",NA
"670","Rough periwinkle",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Littorina",NA
"671","Smooth periwinkle",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Littorina",NA
"672","Turboella inconspicua",NA,"Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"Prosobranchia",NA,"","Turboella",NA
"673","Acanthostomum balthicum",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Acanthostomum",NA
"674","Aphalloides timmi",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Aphalloides",NA
"675","Asymphylodora demeli",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Asymphylodora",NA
"676","Brachyphallus crenatus",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Brachyphallus",NA
"677","Bunocotyle cingulata",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Bunocotyle",NA
"678","Cerc. microphall. No. 4",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Cercaria",NA
"679","Cryptocotyle concavum",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Cryptocotyle",NA
"680","Cryptocotyle lingua",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Cryptocotyle",NA
"681","Fellodistomidae sp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"Fellodistomidae","",NA
"682","Hemiurus communis",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Hemiurus",NA
"683","Hemiurus luehei",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Hemiurus",NA
"684","Himasthla continua",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Himasthla",NA
"685","Himasthla interrupta",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Himasthla",NA
"686","Himasthla militaris",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Himasthla",NA
"687","Lecithaster confusus",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Lecithaster",NA
"688","Levinseniella sp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Levinseniella",NA
"689","Magnibursatus caudofilamentosa",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Magnibursatus",NA
"690","Maritrema subdolum",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Maritrema",NA
"691","Microphallus claviformis",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Microphallus",NA
"692","Microphallus papillorobustum",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Microphallus",NA
"693","Microphallus pygmaeus",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Microphallus",NA
"694","Podocotyle atomon",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Podocotyle",NA
"695","Psilochasmus oxyurus",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Psilochasmus",NA
"696","Strigeidae sp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"Strigidae","",NA
"697","Tylodelphis clavata",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Tylodelphis",NA
"698","Flatworms",NA,"Class",NA,"Animalia","Platyhelminthes",NA,"Turbellaria",NA,"",NA,"","",NA
"699","Zooplankton",NA,"Assemblage",NA,"Animalia","",NA,"",NA,"",NA,"","",NA
"700","Echinorhynchus sp.",NA,"Species",NA,"Animalia","Acanthocephala",NA,"",NA,"",NA,"","Echinorhynchus",NA
"701","Anisakis simplex / sp.",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Anisakis",NA
"702","Cucullanus cirratus",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","Cucullanus ",NA
"703","Nematoda sp.?",NA,"Species",NA,"Animalia","Nematoda",NA,"",NA,"",NA,"","",NA
"704","Bothriocephalus scorpii /sp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Cestoda",NA,"",NA,"","Bothriocephalus",NA
"705","Phytoplankton","Free-Living","Assemblage",NA,"Plantae","",NA,"",NA,"",NA,"","",""
"706","Epipellic Flora","Free-Living","Assemblage",NA,"Plantae","",NA,"",NA,"",NA,"","",""
"707","Macroalgae/Seagrass","Free-Living","Assemblage",NA,"Plantae","",NA,"",NA,"",NA,"","",""
"708","Zooplankton","Free-Living","Assemblage",NA,"Animalia","",NA,"",NA,"",NA,"","",""
"709","Meiofauna","Free-Living","Assemblage",NA,"Animalia","",NA,"",NA,"",NA,"","",""
"710","Bacteria","Free-Living","Assemblage",NA,"Protista","",NA,"",NA,"",NA,"","",""
"711","Anthopleura aureoradiata","Free-Living","Species",NA,"Animalia","Cnidaria",NA,"Anthozoa",NA,"",NA,"","Anthopleura","aureoradiata"
"712","Edwardsia sp.","Free-Living","Species",NA,"Animalia","Cnidaria",NA,"Anthozoa",NA,"",NA,"","Edwardsia","sp."
"713","Enopla 1","Free-Living","Species",NA,"Animalia","Nemertinea",NA,"Enopla",NA,"",NA,"","",""
"714","Enopla 2","Free-Living","Species",NA,"Animalia","Nemertinea",NA,"Enopla",NA,"",NA,"","",""
"715","Abarenicola affinis","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Abarenicola","affinis"
"716","Capitellid 1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Capitellidae","",""
"717","Capitellid 2","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Capitellidae","",""
"718","Heteromastus filiformis","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Heteromastus","filiformis"
"719","Decamastus sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Decamastus","sp."
"720","Paraonis sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Paraonidae","Paraonis","sp."
"721","Scoloplos johnstonei","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Scoloplos","johnstonei"
"722","Macroclymenella stewartensis","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Macroclymenella","stewartensis"
"723","Hesionid 1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Hesionidae","",""
"724","Exogone sp.1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Exogone","sp. 1"
"725","Exogone sp.2","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Exogone ","sp. 2"
"726","Perinereis nuntia","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Perinereis","nuntia"
"727","Sphaerodorum sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Sphaerodorum","sp."
"728","Spio sp.1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Spio","sp.1"
"729","Spio sp.2","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Spio","sp. 2"
"730","Boccardia syrtis","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Boccardia","syrtis"
"731","Boccardia acus","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Boccardia","acus"
"732","Malacoceros sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Malacoceros","sp."
"733","Prinospio sp.1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Prinospio","sp. 1"
"734","Colurostylis lemurum","Free-Living","Species",NA,"Animalia","Crustaccea",NA,"Cumacea",NA,"",NA,"","Colurostylis","lemurum"
"735","Diastylopsis thileniusi","Free-Living","Species",NA,"Animalia","Crustaccea",NA,"Cumacea",NA,"",NA,"","Diastylopsis","thileniusi"
"736","Tanaisus sp.","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Tanaidacea",NA,"","Tanaisus","sp."
"737","Heterophoxus stephenseni","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"","Heterophoxus","stephenseni"
"738","Phoxocephalus regium","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"","Phoxocephalus","regium"
"739","Pontharpinia australis","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"","Pontharpinia","australis"
"740","Amphipod 1","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"","",""
"741","Paracalliope sp.","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"","Paracalliope","sp."
"742","Cymodopsis montis","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Isopoda",NA,"",NA,"","Cymodopsis","montis"
"743","Ghost Shrimp","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Thalassinidea",NA,"","Callianassa","filholi"
"744","Mantis Shrimp","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Stomatopoda",NA,"","Heterosquilla","tricarinata"
"745","Stalk-eyed mud crab","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Decapoda",NA,"","Macrophthalmus","hirtipes"
"746","Hairy-handed crab","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Decapoda",NA,"","Hemigrapsus","crenulatus"
"747","Common rock crab","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Decapoda",NA,"","Hemigrapsus","edwardsii"
"748","Notoacmea helmsi","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Notoacmea","helmsi"
"749","Diloma subrostrata","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Diloma","subrostrata"
"750","Zeacumantus subcarinatus","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Zeacumantus","subcarinatus"
"751","Pyramidellid 1","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"Pyramidellidae","",""
"752","Cominella glandiformis","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Cominella","glandiformis"
"753","Nucula dunedinensis","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Nucula","dunedinensis"
"754","Perrierina turneri","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Perrierina","turneri"
"755","Large wedge shell","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Macomona","liliana"
"756","New Zealand cockle","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Austrovenus","stutchburyi"
"757","Pelecypod 1","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","",""
"758","Paphies sp.","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Paphies","sp."
"759","Phoronid 1","Free-Living","Species",NA,"Animalia","Phoronida",NA,"",NA,"",NA,"","",""
"760","Edwardsia leucomelos","Free-Living","Species",NA,"Animalia","Cnidaria",NA,"Anthozoa",NA,"",NA,"","Edwardsia ","leucomelos"
"761","Nemertine 1","Free-Living","Species",NA,"Animalia","Nemertinea",NA,"",NA,"",NA,"","",""
"762","Nemertine 2","Free-Living","Species",NA,"Animalia","Nemertinea",NA,"",NA,"",NA,"","",""
"763","Nemertine 3","Free-Living","Species",NA,"Animalia","Nemertinea",NA,"",NA,"",NA,"","",""
"764","Enopla 3","Free-Living","Species",NA,"Animalia","Nemertinea",NA,"Enopla",NA,"",NA,"","",""
"765","Capitellid 3","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Capittelidae","",""
"766","Travisia sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Travisia","sp."
"767","Armandia sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Armandia","sp."
"768","Naineris sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Naineris","sp."
"769","Scoloplos cylindrifer","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Scoloplos","cylindrifer"
"770","Leitoscoloplos sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Leitoscoloplos","sp."
"771","Glycera sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Glycera","sp."
"772","Macrolymenella sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Macrolymenella","sp. "
"773","Dorvillea incerta","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Dorvillea","incerta"
"774","Goniadid 1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Goniadidae","",""
"775","Hesionid 2","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Hesionidae","",""
"776","Geminosyllis sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Geminosyllis","sp."
"777","Exogone sp.3","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Exogone","sp. 3"
"778","Aglaophamus sp.1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Aglaophamus","sp. 1"
"779","Perinereis sp.2","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Perinereis","sp. 2 "
"780","Tharyx sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Tharyx","sp."
"781","Prinospio sp.2","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Prinospio","sp. 2 "
"782","Aonides sp.1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Aonides","sp. 1"
"783","Terebellid 1","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Terebellidae","",""
"784","Terebellid 2","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Terebellidae","",""
"785","Pectinaria sp.","Free-Living","Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Pectinaria","sp. "
"786","Diastilid 3","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Cumacea ",NA,"",NA,"Diastillidae","",""
"787","Neballid 1","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Leptostraca",NA,"Neballidae","",""
"788","Lysianassid 1","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"Lysianassidae","",""
"789","Lysianassid 2","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"Lysianassidae","",""
"790","Paracorophium lucasi","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"","Paracorophium","lucasi"
"791","Aora sp.","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"","Aora","sp."
"792","Oedicerotid","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Amphipoda",NA,"",NA,"Oedicerotidae","",""
"793","Exosphaeroma planulum","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Isopoda",NA,"",NA,"Sphaeromatidae","Exosphaeroma","planulum"
"794","Pseudophaeroma campbellensis","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Isopoda",NA,"",NA,"Sphaeromatidae","Pseudophaeroma","campbellensis"
"795","Halicarcinus whitei","Free-Living","Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Decapoda",NA,"","Halicarcinus","whitei"
"796","Glaucus sp.","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Glaucus","sp."
"797","Littorina antipodum","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Littorina","antipodum"
"798","Neoguraleus sp. 1","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Neoguraleus","sp. 1"
"799","Cominella sp. 1","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Cominella","sp. 1"
"800","Buccinulum pertinax","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Buccinulum","pertinax"
"801","Holothuroid 1","Free-Living","Species",NA,"Animalia","Echinodermata",NA,"Holothuroidea",NA,"",NA,"","",""
"802","Green-lipped mussel","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Perna","canaliculus"
"803","Amphibola crenata","Free-Living","Species",NA,"Animalia","Mollusca",NA,"Gastropoda",NA,"",NA,"","Amphibola","crenata"
"804","Flatfish spp.","Free-Living","Order",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","",""
"805","Yellow-eye mullet","Free-Living","Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Aldrichetta","forsteri"
"806","New Zealand spotty","Free-Living","Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Notolabrus","celidotus"
"807","Garfish","Free-Living","Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Hyporhamphus","ihi"
"808","Snoek","Free-Living","Species",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","Thyrsites","atun"
"809","Stingray sp.","Free-Living","Family",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","",""
"810","Dogfish sp.","Free-Living","Order",NA,"Animalia","Chordata",NA,"Osteichthyes ",NA,"",NA,"","",""
"811","Oystercatcher 1","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Haematopus ","sp. 1"
"812","Oystercatcher 2","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Haematopus ","sp. 2"
"813","Masked Lapwing","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Vanellus","miles"
"814","Black-billed Gull","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Larus","bulleri"
"815","Silver Gull","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Larus","novaehollandiae"
"816","White-fronted Heron","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Ardea","novaehollandiae"
"817","White-fronted Tern","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Sterna","striata"
"818","Mallard Duck","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Anas","platyrhynchos"
"819","Caspian Tern","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Sterna","caspia"
"820","Black-winged Stilt","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Himantopus","himantopus"
"821","Paradise Shelduck","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Tadorna","variegata"
"822","Grey Duck","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Anas","superciliosa"
"823","Royal Spoonbill","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Platalea","regia"
"824","Black Swan","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Cygnus","atratus"
"825","Bar-tailed Godwit","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Limosa","lapponica"
"826","Pied Cormorant","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Phalacrocorax ","varius"
"827","Little Pied Cormorant","Free-Living","Species",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"","Phalacrocorax ","melanoleucos"
"828","Maritrema novaezealandensis","Infectious","Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Maritrema","novaezealandensis"
"829","Maritrema novaezealandensis","Free-Living","Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Maritrema","novaezealandensis"
"830","Levinseniella sp.","Infectious","Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Levinseniella","sp."
"831","Levinseniella sp.","Free-Living","Species",NA,"Animalia","Platyhelminthes",NA,"Trematoda",NA,"Digenea",NA,"","Levinseniella","sp."
